"X","Y","name"
-60.781658,-32.9258718,"Intersection 140"
-60.7816504,-33.0036166,"Intersection 141"
-60.7816344,-32.9251069,"Intersection 142"
-60.7816143,-32.9266407,"Intersection 143"
-60.7816139,-33.0041921,"Intersection 144"
-60.7816003,-32.9238167,"Intersection 145"
-60.781598,-32.9192712,"Intersection 146"
-60.7815909,-32.9258696,"Intersection 147"
-60.7815792,-32.9272589,"Intersection 148"
-60.7815469,-32.9266391,"Intersection 149"
-60.7815395,-33.0009368,"Intersection 150"
-60.7815311,-32.9902332,"Intersection 151"
-60.7815267,-32.8801036,"Intersection 152"
-60.7815116,-32.9272566,"Intersection 153"
-60.781504,-32.918221,"Intersection 154"
-60.7814971,-32.8810895,"Intersection 155"
-60.7814948,-32.9192477,"Intersection 156"
-60.7814627,-32.9958506,"Intersection 157"
-60.7814564,-32.9980614,"Intersection 158"
-60.7814503,-32.9181038,"Intersection 159"
-60.7814496,-32.9121617,"Intersection 160"
-60.7814431,-32.9182403,"Intersection 161"
-60.7814257,-32.9193272,"Intersection 162"
-60.7814113,-32.9174666,"Intersection 163"
-60.7814,-32.9240326,"Intersection 164"
-60.7813662,-32.968064,"Intersection 165"
-60.7813517,-32.9684244,"Intersection 166"
-60.7813098,-32.9694651,"Intersection 167"
-60.7812937,-32.8822102,"Intersection 168"
-60.7812901,-32.9182888,"Intersection 169"
-60.7812757,-32.9471064,"Intersection 170"
-60.7812646,-32.9176984,"Intersection 171"
-60.7812563,-32.9171233,"Intersection 172"
-60.7812266,-32.8858392,"Intersection 173"
-60.7812119,-32.8856755,"Intersection 174"
-60.781206,-32.8858037,"Intersection 175"
-60.7811959,-32.917722,"Intersection 176"
-60.7811911,-32.9175379,"Intersection 177"
-60.7811742,-32.9169413,"Intersection 178"
-60.7811617,-32.8860946,"Intersection 179"
-60.7811356,-32.9197822,"Intersection 180"
-60.7811284,-32.91834,"Intersection 181"
-60.7811107,-32.9909105,"Intersection 182"
-60.7810681,-33.0027934,"Intersection 183"
-60.7810645,-32.9174328,"Intersection 184"
-60.7810637,-32.9046426,"Intersection 185"
-60.7810468,-32.917394,"Intersection 186"
-60.7810342,-32.9171954,"Intersection 187"
-60.7810304,-33.0016657,"Intersection 188"
-60.7810301,-32.91778,"Intersection 189"
-60.781012,-32.9197542,"Intersection 190"
-60.7810067,-32.9173057,"Intersection 191"
-60.7809932,-32.9943904,"Intersection 192"
-60.7809782,-33.0029125,"Intersection 193"
-60.7809755,-32.9140227,"Intersection 194"
-60.7809665,-32.9172174,"Intersection 195"
-60.7809517,-32.9170154,"Intersection 196"
-60.7809453,-32.9240593,"Intersection 197"
-60.7809374,-32.9250998,"Intersection 198"
-60.780931,-32.9966222,"Intersection 199"
-60.7809301,-32.9198352,"Intersection 200"
-60.7809296,-32.9239797,"Intersection 201"
-60.7809272,-32.9171307,"Intersection 202"
-60.7809152,-32.9239059,"Intersection 203"
-60.7809102,-32.9198548,"Intersection 204"
-60.7809055,-32.9238566,"Intersection 205"
-60.780903,-32.9163407,"Intersection 206"
